"image","round","plate","row","col","startlivefronds","startdeadfronds","particles","area","perim","mean","circ","feret","minferet","ar","round","solid","perred","pergreen","perblue","numrow"
"DSC_1061_Plate1Round1Start.JPG",1,1,"h",5,3,0,1,2765,324.233,64.929,0.331,75.24,55.662,1.498,0.668,0.83,0.364202949888853,0.392361913269366,0.24346593971877,8
"DSC_1061_Plate1Round1Start.JPG",1,1,"a",6,2,0,1,2888,323.362,59.359,0.347,82.298,52.83,1.582,0.632,0.807,0.340341537649444,0.393217540726764,0.266115219820639,1
"DSC_1061_Plate1Round1Start.JPG",1,1,"b",6,4,0,1,4594,341.061,62.146,0.496,101.415,66.881,1.564,0.639,0.823,0.347262897048885,0.401795771248351,0.250876967141892,2
"DSC_1061_Plate1Round1Start.JPG",1,1,"c",6,2,0,1,1696,180.309,78.566,0.656,64.257,36.889,1.844,0.542,0.901,0.341377525477518,0.382455515108317,0.276281512783307,3
"DSC_1061_Plate1Round1Start.JPG",1,1,"d",6,2,0,1,1846,199.037,77.053,0.586,74.404,35.271,2.324,0.43,0.912,0.344239246579194,0.386145466972949,0.269212965967148,4
"DSC_1061_Plate1Round1Start.JPG",1,1,"e",6,2,0,1,2256,215.622,84.237,0.61,71.197,44.065,1.618,0.618,0.884,0.349157733537519,0.374578075350895,0.276129650074591,5
"DSC_1061_Plate1Round1Start.JPG",1,1,"f",6,2,0,1,4138,329.161,75.661,0.48,110.982,55.846,2.212,0.452,0.848,0.358850662824969,0.397981346620672,0.243295753426468,6
"DSC_1061_Plate1Round1Start.JPG",1,1,"g",6,3,0,1,3993,306.919,73.211,0.533,89.627,76.667,1.203,0.831,0.833,0.354122558996144,0.397312789972363,0.248997190768236,7
"DSC_1061_Plate1Round1Start.JPG",1,1,"h",6,2,0,1,1529,194.794,79.877,0.506,57.07,39,1.45,0.69,0.847,0.346745621392892,0.374225371508695,0.279095776422917,8
"DSC_1061_Plate1Round1Start.JPG",1,1,"a",7,2,0,1,2572,230.936,66.182,0.606,81.345,43.584,2.069,0.483,0.86,0.34712358848831,0.389234736534607,0.263314294924098,1
"DSC_1061_Plate1Round1Start.JPG",1,1,"b",7,2,0,1,1558,225.865,74.318,0.384,67.676,37.494,2.321,0.431,0.745,0.349901773459996,0.3864519138477,0.263776384366282,2
"DSC_1061_Plate1Round1Start.JPG",1,1,"c",7,2,2,1,2478,233.037,79.985,0.573,76.903,41.224,1.922,0.52,0.906,0.349457189889771,0.380146277427018,0.270484049092538,3
"DSC_1061_Plate1Round1Start.JPG",1,1,"d",7,4,1,2,4773,418.032,78.11,0.651,74.814,42.8505,1.8635,0.5405,0.8865,0.364632951482973,0.399259042309255,0.236174689561867,4
"DSC_1061_Plate1Round1Start.JPG",1,1,"e",7,2,1,1,3306,248.593,76.551,0.672,84.22,54.754,1.671,0.599,0.904,0.358584473096367,0.396702851693642,0.244738801583258,5
"DSC_1061_Plate1Round1Start.JPG",1,1,"f",7,2,0,1,2719,235.179,73.498,0.618,81.786,46.802,1.939,0.516,0.888,0.356395185356518,0.402020009614774,0.24190227398478,6
"DSC_1061_Plate1Round1Start.JPG",1,1,"g",7,2,0,1,3285,322.291,77.388,0.397,94.34,51.984,1.972,0.507,0.822,0.356575524198411,0.392123671197946,0.251309419203666,7
"DSC_1061_Plate1Round1Start.JPG",1,1,"h",7,2,0,1,3605,263.078,68.554,0.655,94.43,52.518,1.949,0.513,0.912,0.344507006641966,0.389532339469615,0.265931479806673,8
"DSC_1061_Plate1Round1Start.JPG",1,1,"a",8,2,0,1,3023,254.35,66.752,0.587,89.805,46.882,2.131,0.469,0.876,0.344309284116331,0.38866251198466,0.266938318951742,1
"DSC_1061_Plate1Round1Start.JPG",1,1,"b",8,3,0,2,3221,342.718,79.8305,0.6795,58.7345,37.018,1.649,0.6185,0.887,0.354291663639522,0.38011528547374,0.265997096895403,2
"DSC_1061_Plate1Round1Start.JPG",1,1,"c",8,2,1,1,3626,292.191,77.347,0.534,98.884,52.828,2.025,0.494,0.877,0.355803500243491,0.390396524752091,0.254118884162713,3
"DSC_1061_Plate1Round1Start.JPG",1,1,"d",8,2,0,1,3264,279.806,75.015,0.524,93.536,47.603,2.083,0.48,0.875,0.358408318336333,0.398586949276811,0.243226910173521,4
"DSC_1061_Plate1Round1Start.JPG",1,1,"e",8,2,0,1,2704,221.581,73.319,0.692,82.873,41.504,2.089,0.479,0.933,0.355546765958801,0.400669221711516,0.243893124565256,5
"DSC_1061_Plate1Round1Start.JPG",1,1,"f",8,2,0,1,928,133.196,87.787,0.657,46.861,28.816,1.678,0.596,0.887,0.352462969080464,0.37974111580682,0.268190810332585,6
"DSC_1061_Plate1Round1Start.JPG",1,1,"g",8,2,0,1,2084,217.723,76.156,0.552,75,40.279,1.859,0.538,0.873,0.348245706182047,0.382386154735018,0.269298107393596,7
"DSC_1061_Plate1Round1Start.JPG",1,1,"h",8,3,0,1,4015,338.09,67.71,0.441,100.499,64.764,1.695,0.59,0.816,0.351627036872939,0.391370058583173,0.256840447004381,8
"DSC_1061_Plate1Round1Start.JPG",1,1,"a",9,2,0,1,2129,306.877,71.505,0.284,76.158,42.849,1.954,0.512,0.826,0.341929468801716,0.378542293079738,0.27937440272242,1
"DSC_1061_Plate1Round1Start.JPG",1,1,"b",9,2,0,1,1488,266.735,82.601,0.263,66.189,36.793,2.181,0.459,0.768,0.358607442202072,0.376706496692938,0.264786947696356,2
"DSC_1061_Plate1Round1Start.JPG",1,1,"c",9,3,0,1,3406,282.149,79.26,0.538,94.154,56.771,1.972,0.507,0.843,0.340613171839515,0.376352090167382,0.282790815039112,3
"DSC_1061_Plate1Round1Start.JPG",1,1,"d",9,3,1,2,3164,341.747,84.055,0.6665,56.749,35.993,1.5825,0.648,0.902,0.352842140166506,0.379588251469926,0.267991380297352,4
"DSC_1061_Plate1Round1Start.JPG",1,1,"e",9,2,0,1,3136,261.078,79.151,0.578,88.752,52.074,1.814,0.551,0.888,0.352852985643475,0.386863926756032,0.260405217032423,5
"DSC_1061_Plate1Round1Start.JPG",1,1,"f",9,2,0,1,2944,235.865,74.567,0.665,82.098,48.837,1.803,0.555,0.907,0.349193789924944,0.393333065118171,0.257732419613681,6
"DSC_1061_Plate1Round1Start.JPG",1,1,"g",9,3,1,2,2932,311.019,77.5245,0.6725,54.9515,31.489,1.776,0.565,0.9095,0.361130234269151,0.38972196910418,0.249487837853017,7
"DSC_1061_Plate1Round1Start.JPG",1,1,"h",9,2,0,1,2324,231.765,71.706,0.544,76.295,42,1.944,0.514,0.881,0.352769177846577,0.384356492715626,0.262920815552394,8
"DSC_1061_Plate1Round1Start.JPG",1,1,"a",10,2,0,1,2143,243.664,70.509,0.454,77.621,43.636,2.076,0.482,0.836,0.348768715104928,0.384239364241917,0.267275572385558,1
"DSC_1061_Plate1Round1Start.JPG",1,1,"b",10,3,0,1,3525,307.12,70.419,0.47,100.439,58.912,1.814,0.551,0.797,0.348750573945479,0.391527854698306,0.259844644201139,2
"DSC_1061_Plate1Round1Start.JPG",1,1,"c",10,4,0,2,4712,423.588,77.083,0.666,75.343,43.1585,1.8035,0.5625,0.904,0.350226567134452,0.385565961141517,0.26430875426635,3
"DSC_1061_Plate1Round1Start.JPG",1,1,"d",10,2,0,1,1103,174.652,86.654,0.454,53.31,32.756,1.915,0.522,0.776,0.344415722297874,0.370611858656265,0.284968572329802,4
"DSC_1061_Plate1Round1Start.JPG",1,1,"e",10,2,0,1,2970,251.664,83.597,0.589,84.345,50.759,1.786,0.56,0.886,0.346511637179963,0.379479327408081,0.273654158243318,5
"DSC_1061_Plate1Round1Start.JPG",1,1,"f",10,3,0,1,4415,360.475,71.4,0.427,103.586,69.843,1.872,0.534,0.791,0.3481279178338,0.395868347338936,0.256045751633987,6
"DSC_1061_Plate1Round1Start.JPG",1,1,"g",10,2,0,1,3532,287.706,72.698,0.536,94.578,52.991,1.952,0.512,0.893,0.35672691591699,0.397828459288197,0.245715150348015,7
"DSC_1061_Plate1Round1Start.JPG",1,1,"h",10,2,0,1,3602,292.392,64.818,0.529,97.637,52.471,1.995,0.501,0.88,0.355487673177204,0.401447128883952,0.2432040482582,8
"DSC_1061_Plate1Round1Start.JPG",1,1,"a",11,2,1,1,3005,278.534,65.632,0.487,93.744,50.67,1.962,0.51,0.83,0.343673817649927,0.382359215017065,0.273809523809524,1
"DSC_1061_Plate1Round1Start.JPG",1,1,"b",11,3,1,1,1998,265.706,75.498,0.356,90.802,40,2.638,0.379,0.745,0.349978365872827,0.388080920465884,0.262024601093186,2
"DSC_1061_Plate1Round1Start.JPG",1,1,"c",11,2,0,1,2339,279.706,83.53,0.376,80.623,41.214,2.129,0.47,0.842,0.367815954347739,0.385977094058023,0.246594038070154,3
"DSC_1061_Plate1Round1Start.JPG",1,1,"d",11,2,0,2,2303,349.061,79.8845,0.5215,52.952,35.4925,1.8035,0.659,0.8205,0.347946749250076,0.378092168785146,0.27450388467407,4
"DSC_1061_Plate1Round1Start.JPG",1,1,"e",11,2,0,1,1096,233.179,89.118,0.253,56.604,37.634,1.593,0.628,0.757,0.37163835214734,0.380375831294838,0.248075585179201,5
"DSC_1061_Plate1Round1Start.JPG",1,1,"f",11,2,0,1,3061,242.593,70.57,0.654,82.42,51.148,1.72,0.581,0.896,0.357625997827216,0.401657928298144,0.241178971234236,6
"DSC_1061_Plate1Round1Start.JPG",1,1,"g",11,2,1,1,2529,221.865,69.62,0.646,77.878,43.688,1.896,0.528,0.909,0.354634683520061,0.402542372881356,0.243167672124868,7
"DSC_1061_Plate1Round1Start.JPG",1,1,"h",11,1,0,1,1741,166.167,68.022,0.792,50.922,46.433,1.041,0.961,0.956,0.356472905824586,0.409093136534258,0.234625072280537,8
"DSC_1061_Plate1Round1Start.JPG",1,1,"a",12,2,0,1,3068,297.605,66.102,0.435,95.258,50.078,2.022,0.494,0.827,0.334039312980949,0.370906578721773,0.295049065585509,1
"DSC_1061_Plate1Round1Start.JPG",1,1,"b",12,4,0,1,4888,434.558,64.497,0.325,117.924,78.331,1.714,0.583,0.775,0.341106304686006,0.390012972179585,0.268617144983488,2
"DSC_1061_Plate1Round1Start.JPG",1,1,"c",12,2,0,1,3469,303.019,72.236,0.475,103.078,54.18,2.124,0.471,0.809,0.339816711888809,0.384452812078926,0.275370544696089,3
"DSC_1061_Plate1Round1Start.JPG",1,1,"d",12,2,0,1,1550,178.167,80.2,0.614,60.166,34.469,1.828,0.547,0.893,0.343948462177889,0.375261845386534,0.280818786367415,4
"DSC_1061_Plate1Round1Start.JPG",1,1,"e",12,2,0,1,1815,176.752,76.513,0.73,61.774,41.432,1.489,0.672,0.937,0.341580297901446,0.379107689760781,0.27913775001198,5
"DSC_1061_Plate1Round1Start.JPG",1,1,"f",12,4,0,2,5197,451.63,74.97,0.6405,76.6115,46.3095,1.7275,0.5805,0.901,0.349572215093399,0.385644941896917,0.264869187388253,6
"DSC_1061_Plate1Round1Start.JPG",1,1,"g",12,1,0,1,1543,190.309,69.063,0.535,70.214,32.966,2.111,0.474,0.902,0.354261085289277,0.394856869814517,0.250833779785606,7
"DSC_1061_Plate1Round1Start.JPG",1,1,"h",12,1,0,1,2074,188.309,77.142,0.735,61.612,48.252,1.282,0.78,0.93,0.349044619014285,0.377632590979406,0.273361679327301,8
"DSC_1058_Plate2Round1Start.JPG",1,2,"a",1,2,0,1,3361,260.492,79.403,0.622,94.021,48.866,2.074,0.482,0.896,0.347598117619401,0.390644350129508,0.261690364343916,1
"DSC_1058_Plate2Round1Start.JPG",1,2,"b",1,2,0,1,2033,224.35,87.465,0.508,80.808,40.063,2.125,0.471,0.86,0.331504030183502,0.375384439490082,0.292829512757484,2
"DSC_1058_Plate2Round1Start.JPG",1,2,"c",1,3,1,3,2311,373.203,89.7123333333333,0.612,45.2153333333333,26.604,1.771,0.574333333333333,0.872666666666667,0.341667719384153,0.375233117655813,0.282918743893422,3
"DSC_1058_Plate2Round1Start.JPG",1,2,"d",1,3,0,1,3185,332.233,80.381,0.363,84.202,62.015,1.437,0.696,0.8,0.348187589936262,0.400886610849164,0.25096726838432,4
"DSC_1058_Plate2Round1Start.JPG",1,2,"e",1,2,0,1,2461,235.078,88.145,0.56,77.233,43.134,1.872,0.534,0.873,0.345877058634447,0.378032408720479,0.276048934520771,5
"DSC_1058_Plate2Round1Start.JPG",1,2,"f",1,1,0,1,563,126.752,100.56,0.44,39.051,23.724,1.644,0.608,0.793,0.333426146910634,0.378579952267303,0.287483426146911,6
"DSC_1058_Plate2Round1Start.JPG",1,2,"g",1,2,0,1,2321,215.179,88.066,0.63,72.732,47.372,1.724,0.58,0.858,0.344885275437361,0.380388950711209,0.274634932891241,7
"DSC_1058_Plate2Round1Start.JPG",1,2,"h",1,2,0,1,3469,263.22,78.103,0.629,94.493,48.254,2.12,0.472,0.896,0.349871323764772,0.397133699516451,0.253157155721718,8
"DSC_1058_Plate2Round1Start.JPG",1,2,"a",2,2,0,1,1803,197.48,84.493,0.581,71.561,38.12,1.961,0.51,0.89,0.342513581006711,0.382122384891845,0.275060261402325,1
"DSC_1058_Plate2Round1Start.JPG",1,2,"b",2,1,0,1,631,117.983,89.815,0.57,43.966,21.775,1.989,0.503,0.903,0.34412588840023,0.383996734027353,0.271543357642562,2
"DSC_1058_Plate2Round1Start.JPG",1,2,"c",2,2,0,2,2393,298.049,94.4885,0.5435,54.8435,29.3825,2.004,0.4995,0.8515,0.34175658243789,0.378930365951464,0.279227214326067,3
"DSC_1058_Plate2Round1Start.JPG",1,2,"d",2,1,0,1,1485,180.894,91.42,0.57,59.641,33.573,1.833,0.545,0.898,0.347513308539342,0.3853168526216,0.267129730912273,4
"DSC_1058_Plate2Round1Start.JPG",1,2,"e",2,5,0,2,3839,453.487,89.958,0.364,68.9905,33.7705,3.029,0.3765,0.79,0.343232995685414,0.383910316584294,0.272556719548025,5
"DSC_1058_Plate2Round1Start.JPG",1,2,"f",2,2,0,1,1660,176.894,90.293,0.667,63.6,33.888,1.996,0.501,0.896,0.344652040209835,0.385873397347155,0.269644379963009,6
"DSC_1058_Plate2Round1Start.JPG",1,2,"g",2,3,0,1,5200,355.262,81.241,0.518,100.881,81.229,1.013,0.987,0.822,0.356441534036591,0.404750474924402,0.239185468749359,7
"DSC_1058_Plate2Round1Start.JPG",1,2,"h",2,2,0,1,1902,196.794,82.804,0.617,73.41,36.602,1.99,0.503,0.936,0.353956330612048,0.389538347583853,0.256666344621033,8
"DSC_1058_Plate2Round1Start.JPG",1,2,"a",3,2,1,1,3276,337.061,86.329,0.362,97.673,52.473,1.989,0.503,0.787,0.342746933243754,0.371883530833594,0.285354091131987,1
"DSC_1058_Plate2Round1Start.JPG",1,2,"b",3,2,0,1,2423,237.664,85.562,0.539,87.092,42.403,2.228,0.449,0.868,0.342161239802716,0.384048993712162,0.273388498009241,2
"DSC_1058_Plate2Round1Start.JPG",1,2,"c",3,3,0,1,2698,290.09,89.734,0.403,91.608,54.358,1.558,0.642,0.774,0.346761911129932,0.38506400398214,0.268203802349165,3
"DSC_1058_Plate2Round1Start.JPG",1,2,"d",3,3,2,2,2566,349.789,93.6145,0.4915,52.812,36.98,1.481,0.6785,0.827,0.349711330415363,0.390699011318284,0.259772387955591,4
"DSC_1058_Plate2Round1Start.JPG",1,2,"e",3,2,0,1,2393,217.966,87.035,0.633,76.105,42,1.925,0.519,0.891,0.338227915972501,0.390612971792957,0.270783784301335,5
"DSC_1058_Plate2Round1Start.JPG",1,2,"f",3,2,0,1,1933,225.137,91.848,0.479,70.937,38.814,2.077,0.482,0.875,0.34459832186511,0.388805417646546,0.266400284528061,6
"DSC_1058_Plate2Round1Start.JPG",1,2,"g",3,2,0,1,3283,270.25,87.034,0.565,98.27,48.79,2.23,0.448,0.867,0.352594005407848,0.393788634326815,0.253904604330874,7
"DSC_1058_Plate2Round1Start.JPG",1,2,"h",3,2,0,1,2357,228.836,85.289,0.566,76.243,44.857,1.839,0.544,0.891,0.348536544376571,0.389405433291515,0.262018939527176,8
"DSC_1058_Plate2Round1Start.JPG",1,2,"a",4,2,0,1,2369,309.161,91.769,0.311,79.076,47.239,1.817,0.55,0.835,0.343943306926449,0.374781607441874,0.280995397864929,1
"DSC_1058_Plate2Round1Start.JPG",1,2,"b",4,2,0,1,1914,331.747,89.282,0.219,85.755,42.171,2.301,0.435,0.67,0.333269864026344,0.379789132561248,0.286459383377015,2
"DSC_1058_Plate2Round1Start.JPG",1,2,"c",4,2,1,1,2468,260.291,88.998,0.458,83.006,42.62,2.055,0.487,0.885,0.346135119141254,0.388724091178079,0.264990973579931,3
"DSC_1058_Plate2Round1Start.JPG",1,2,"d",4,3,1,1,4489,337.747,85.386,0.495,103.16,70.818,1.698,0.589,0.831,0.341664129170278,0.393858477970628,0.264278296988577,4
"DSC_1058_Plate2Round1Start.JPG",1,2,"e",4,1,1,1,933,146.51,94.385,0.546,45.453,33.025,1.241,0.806,0.865,0.3476329218979,0.389970157687486,0.262559375607,5
"DSC_1058_Plate2Round1Start.JPG",1,2,"f",4,2,0,1,3995,333.99,90.363,0.45,106.977,56.66,2.237,0.447,0.825,0.350117489090299,0.389204283464102,0.261021288211621,6
"DSC_1058_Plate2Round1Start.JPG",1,2,"g",4,1,1,1,1260,162.167,94.368,0.602,51.662,37.567,1.336,0.748,0.865,0.344788487622923,0.38189146038205,0.273461342828077,7
"DSC_1058_Plate2Round1Start.JPG",1,2,"h",4,2,0,1,1391,162.167,90.884,0.665,57.871,34.165,1.867,0.536,0.889,0.35504966037293,0.383723574373194,0.261193756143362,8
"DSC_1058_Plate2Round1Start.JPG",1,2,"a",5,1,0,1,1843,299.161,94.173,0.259,69.116,42.837,1.746,0.573,0.797,0.344798048980777,0.367097434154871,0.287909839692198,1
"DSC_1058_Plate2Round1Start.JPG",1,2,"b",5,1,1,1,744,107.054,95.519,0.816,35.468,29.73,1.17,0.854,0.932,0.336962628726571,0.385448619297382,0.276751222269915,2
"DSC_1058_Plate2Round1Start.JPG",1,2,"c",5,2,1,2,2132,275.564,93.46,0.5785,46.983,33.2525,1.8025,0.6425,0.7615,0.349994097470927,0.385633247356332,0.264327633565134,3
"DSC_1058_Plate2Round1Start.JPG",1,2,"d",5,1,1,1,1226,247.12,91.825,0.252,72.719,36.042,1.736,0.576,0.691,0.351291405753698,0.392300571739722,0.25657137671295,4
"DSC_1058_Plate2Round1Start.JPG",1,2,"e",5,2,0,1,2791,258.149,91.814,0.526,80.056,47.735,1.906,0.525,0.864,0.346668264099157,0.392202351130183,0.261143906884208,5
"DSC_1058_Plate2Round1Start.JPG",1,2,"f",5,2,0,1,2509,279.262,90.488,0.404,80.994,45.654,1.909,0.524,0.848,0.354179559720626,0.394070668670616,0.251878702148351,6
"DSC_1058_Plate2Round1Start.JPG",1,2,"g",5,2,0,1,4073,346.375,86.447,0.427,106.33,56.673,2.141,0.467,0.848,0.354868686401302,0.397472825353492,0.247862852383541,7
"DSC_1058_Plate2Round1Start.JPG",1,2,"h",5,2,0,1,1609,194.551,95.498,0.534,60.671,39.054,1.703,0.587,0.87,0.347829273911495,0.373997361201282,0.277838279335693,8
"DSC_1058_Plate2Round1Start.JPG",1,2,"a",6,3,0,1,3719,324.233,84.689,0.445,95.425,61.86,1.811,0.552,0.807,0.351017644951922,0.393730787548166,0.255412942255389,1
"DSC_1058_Plate2Round1Start.JPG",1,2,"b",6,2,1,1,3682,299.907,92.289,0.514,103.769,55.013,2.083,0.48,0.845,0.34334174892638,0.385358312836127,0.27145163562288,2
"DSC_1058_Plate2Round1Start.JPG",1,2,"c",6,1,0,1,1083,160.409,90.741,0.529,42.72,38.342,1.066,0.938,0.882,0.347487170444819,0.400208652465075,0.252653155684861,3
"DSC_1058_Plate2Round1Start.JPG",1,2,"d",6,2,0,1,1851,242.936,95.365,0.394,71.84,37.42,2.081,0.481,0.832,0.34578024781978,0.385029448260193,0.269448959261784,4
